type,address,postcode,suburb,lat,lon,internal_postcode
Woolworths,2A Charles St,Canterbury,2193,-33.91193,151.11808,822
Woolworths,68-72 Evaline St,Campsie,2194,-33.9141,151.10306,824
Woolworths,"Centro Shop. Ctr, Lady Cutler Ave",Bankstown,2200,-33.91582,151.04009,834
Woolworths,Cnr Knox & Norton St,Ashfield,2131,-33.88938,151.1227,652
Woolworths,"Shop 6, Level 3, Westfield Shop. Ctr, Burwood Rd",Burwood,2134,-33.86969,151.10478,656
Woolworths,"Burwood Plaza Shop. Ctr, 42-50 Railway Pde",Burwood,2134,-33.87766,151.1023,656
Woolworths,"Shop 19, Strathfield Plaza, 11 The Bvd",Strathfield,2135,-33.87284,151.09424,658
Woolworths,"Leichhardt Market Pl, Cnr Marion & Flood St",Leichhardt,2040,-33.88421,151.15001,432
Woolworths,Mashman Ave,Kingsgrove,2208,-33.94114,151.10093,855
Woolworths,2 - 26 Haldon St,Lakemba,2195,-33.92443,151.07934,825
Woolworths,10 Fountain St,Alexandria,2015,-33.90258,151.1948,368
Woolworths,78-96 Arncliffe St,Wolli Creek,2205,-33.931,151.15405,847
Woolworths,463 Illawarra Rd,Marrickville,2204,-33.91663,151.15023,842
Woolworths,"South Point Shop. Ctr, 238-262 Bunnerong Rd",Hillsdale,2036,-33.95216,151.23099,421
Woolworths,"Rockdale Plaza, Cnr Princes Hwy And Rockdale Plaza Dr",Rockdale,2216,-33.95711,151.13775,877
Woolworths,"Shop 10, Bkk Shop. Ctr, Evans Ave",Eastlakes,2018,-33.92407,151.20724,375
Woolworths,"Eastgardens Shop. Ctr, 152 Bunnerong Rd",Pagewood,2036,-33.94481,151.22426,418
Woolworths,55 Church Ave,Mascot,2020,-33.92227,151.18598,379
Woolworths,"Marrickville Shop. Ctr, 34 Victoria Rd",Marrickville,2204,-33.90681,151.17169,842
Woolworths,"Kogarah Town Centre, Railway Pde",Kogarah,2217,-33.96301,151.13274,880
Woolworths,Cnr Bunnerong Rd & Daunt Ave Matraville,Matraville,2036,-33.95753,151.2308,425
Woolworths,Allison Cres,Menai,2234,-34.0141,151.0176,943
Woolworths,247 Belmore Rd,Riverwood,2210,-33.95245,151.05113,864
Woolworths,Cnr Princes Hwy And Waratah St,Engadine,2233,-34.0295,151.08012,933
Woolworths,Cnr Park & Cross Sts,Hurstville,2220,-33.9655,151.10491,890
Woolworths,Cnr Marco And Polo Aves,Revesby,2212,-33.95207,151.01142,867
Woolworths,"Southgate Shop. Ctr, Cnr Princes Hwy And Port Hacking Rd",Sylvania,2224,-34.00806,151.10562,902
Woolworths,Cnr President Ave And High St,Caringbah,2229,-34.04251,151.11823,913
Woolworths,84D Roberts Ave,Mortdale,2223,-33.96855,151.06471,899
Woolworths,"Miranda Fair Shop. Ctr, 600 The Kingsway",Miranda,2228,-34.03501,151.10016,911
Woolworths,Carlingford Ct Pennant Hills Rd,Carlingford,2118,-33.76855,151.04854,632
Woolworths,"Macquarie Shop. Ctr, Cnr Waterloo And Herring Rds",North Ryde,2113,-33.7766279039368,151.119878876337,620
Woolworths,"Eastwood Centre, 160 Rowe St",Eastwood,2122,-33.79219,151.08139,643
Woolworths,2 The Comenarra Parkway,Thornleigh,2120,-33.7323,151.08694,639
Woolworths,"Westfield Shop. Ctr, Cnr Pacific Hwy And Edgeworth David Ave",Hornsby,2077,-33.70545,151.09901,517
Woolworths,Cnr Devlin St And Blaxland Rd,Ryde,2112,-33.8104,151.10604,615
Woolworths,14 Anthony Rd,West Ryde,2114,-33.80656,151.08837,625
Woolworths,Cnr of Hannah St and Beecroft Rd,Beecroft,2119,-33.74949,151.06454,636
Woolworths,Betty Cuthbert Ave,Ermington,2115,-33.81443,151.05487,626
Woolworths,"Shop 17, Cherrybrook Village, Shepherds Dr",Cherrybrook,2126,-33.71654,151.04708,646
Woolworths,Cnr Epping And Balaclava Rds,Marsfield,2122,-33.77776,151.10807,644
Woolworths,Cnr Longueville Rd And Austin St,Lane Cove,2066,-33.81556,151.17004,479
Woolworths,1-7 Rangers Rd,Neutral Bay,2089,-33.83213,151.22384,547
Woolworths,43-51 Grosvenor St,Neutral Bay,2089,-33.83051,151.22255,547
Woolworths,276 Darling St,Balmain,2041,-33.85795,151.18112,434
Woolworths,Cnr Sailors Bay Rd And Eastern VAlly Way,Northbridge,2063,-33.81043,151.20796,470
Woolworths,Cnr Park & George St,Sydney,2000,-33.87298,151.207,352
Woolworths,10 Falcon St,Crows Nest,2065,-33.8275,151.20169,472
Woolworths,Cnr Kiaora Lane and Kiaora Rd,Double Bay,2028,-33.87759,151.24474,399
Woolworths,Cnr Kiaora Lane and Kiaora Rd,Double Bay,2028,-33.87759,151.24474,399
Woolworths,"Westfield Shop. Ctr, 530 Oxford St",Bondi Junction,2022,-33.89142,151.25082,385
Woolworths,12 Lagoon St,Narrabeen,2101,-33.71225,151.29813,580
Woolworths,"Forestway Shop. Ctr, Cnr Russell Ave And Forest Way",Frenchs Forest,2086,-33.74945,151.22475,540
Woolworths,"St Ives Shop. Vge,Cnr Mona Vale Rd And Memorial Ave",St Ives,2075,-33.73016,151.16088,511
Woolworths,808 Pacific Hwy,Gordon,2072,-33.75538,151.15184,504
Woolworths,56 - 58 Glen St,Belrose,2085,-33.73924,151.21004,537
Woolworths,Pittwater Rd,Brookvale,2100,-33.76299,151.27162,574
Woolworths,37 Howard Avenue,Dee Why,2099,-33.75326,151.28974,569
Woolworths,17 - 31 Roseberry St,Balgowlah,2093,-33.78817,151.26721,553
Woolworths,Warriewood Sq Cnr Jacksons And Boondale Rd,Warriewood,2102,-33.69705,151.29629,582
Woolworths,74 Old Barenjoey Rd,Avalon,2107,-33.63625,151.32979,5656
Woolworths,25-29 Park St,Mona Vale,2103,-33.67576,151.30211,585
Woolworths,"Bateau Bay Sq, 12 Bay Village Rd",Bateau Bay,2261,-33.37457,151.473,1065
Woolworths,1 Figtree Boulevard,Wadalba,2259,-33.26754,151.46278,1048
Woolworths,40-46 William St,Gosford,2250,-33.42586,151.343,952
Woolworths,Cobbs Rd,Tuggerah,2259,-33.31308,151.42145,1046
Woolworths,"Peninsula Plaza, 63 Blackwall Rd",Woy Woy,2256,-33.4876,151.3255,999
Woolworths,Karalta Rd,Erina,2250,-33.44182,151.39475,949
Woolworths,Crn Of West And Trafalgar St,Umina,2257,-33.52164,151.32057,7779
Woolworths,Tall Timbers Rd,Lake Munmorah,2259,-33.1843,151.55787,1034
Woolworths,Parsons Rd,Lisarow,2250,-33.38594,151.36593,957
Woolworths,"Lake Haven Shopping, Centre Lake Haven Dr",Lake Haven,2263,-33.25243,151.49642,1092
Woolworths,Cnr Wilson Rd And Rosalind St,Mt Hutton,2290,-32.98621,151.67303,1195
Woolworths,Cnr Main And Lake Rds,Glendale,2285,-32.92905,151.6421,1165
Woolworths,Cnr Park Ave And Northcott Dr,Kotara,2289,-32.94068,151.71234,1183
Woolworths,Cnr Macquarie And Main Rds,Cardiff,2285,-32.93965,151.65782,1161
Woolworths,18 Josephson St,Swansea,2281,-33.08707,151.63782,1133
Woolworths,Charlestown Sq Canberra St,Charlestown,2290,-32.96395,151.69235,1187
Woolworths,Cnr Macquarie & Singleton St,Belmont,2280,-33.03594,151.65933,1116
Woolworths,Cnr Pemell St And Brighton Aves,Toronto,2283,-33.01489,151.59652,1152
Woolworths,"Crn Dora, Doyalson And Yambo St",Morisset,2264,-33.10769,151.48734,1103
Woolworths,Cnr Maitland Rd And Valencia St,Mayfield,2304,-32.89885,151.73857,1225
